"","A","D","H","results","B365H","B365D","B365A"
"4077",0.24,0.46,0.3,"H",2.45,3.7,2.9
"4078",0.82,0.12,0.06,"A",5,3.6,1.83
"4079",0.07,0.06,0.87,"H",1.4,5,9
"4080",0.1,0.48,0.42,"D",1.17,9,17
"4081",0.34,0.35,0.31,"D",2.38,3.2,3
"4082",0.04,0.04,0.92,"H",0,0,0
"4083",0.28,0.36,0.36,"A",1.18,7,13
"4084",0.05,0.17,0.78,"A",2.63,3.3,2.6
"4085",0.03,0.01,0.96,"H",1.5,4.2,6.5
"4086",0.58,0.34,0.08,"A",2.2,3.2,3.4
"4087",0.47,0.14,0.39,"H",2.4,3.4,2.8
"4088",0.84,0.15,0.01,"A",4.5,3.6,1.8
"4089",0.01,0.2,0.79,"H",1.2,7,11
"4090",0.05,0.18,0.77,"D",2.3,3.4,3.4
"4091",0.64,0.34,0.02,"A",3.2,3.4,2.38
"4092",0.03,0.72,0.25,"H",1.91,3.75,4.33
"4093",0.85,0.08,0.07,"A",7.5,5,1.44
"4094",0.37,0.36,0.27,"A",1.67,4.2,5.25
"4095",0.04,0.05,0.91,"H",1.91,3.75,4.33
"4096",0.89,0.1,0.01,"A",0,0,0
"4097",0.75,0.09,0.16,"H",4.33,3.75,1.91
"4098",0.02,0.08,0.9,"D",1.2,7.5,17
"4099",0.08,0.12,0.8,"H",1.36,5.5,9
"4100",0.01,0.03,0.96,"H",1.14,9.5,21
"4101",0.18,0.04,0.78,"A",0,0,0
"4102",0.03,0.19,0.78,"H",2.1,3.2,4.2
"4103",0.04,0.07,0.89,"H",2.75,3,2.375
"4104",0.09,0.61,0.3,"A",2.6,3.2,2.62
"4105",0.29,0.5,0.21,"D",2.63,3.5,2.8
"4106",0.02,0.06,0.92,"H",1.22,7.5,13
"4107",0.93,0.02,0.05,"A",4.5,3.8,1.85
"4108",0.08,0.57,0.35,"D",2.63,3.5,2.8
"4109",0.05,0.33,0.62,"A",2.3,3.4,3.4
"4110",0.01,0.01,0.98,"H",1.5,4.5,7.5
"4111",0.58,0.07,0.35,"A",2.1,3.6,3.75
"4112",0.46,0.01,0.53,"A",0,0,0
"4113",0.6,0.06,0.34,"A",0,0,0
"4114",0.01,0.04,0.95,"D",0,0,0
"4115",0.13,0.07,0.8,"H",0,0,0
"4116",0.05,0.48,0.47,"D",1.75,3.9,5
"4117",0.42,0.32,0.26,"A",6.5,4.2,1.57
"4118",0.37,0.27,0.36,"H",1.4,5.5,8
"4119",0.03,0.04,0.93,"H",1.44,4.6,8.5
"4120",0.11,0.56,0.33,"D",2.9,3.3,2.63
"4121",0.07,0.28,0.65,"H",2,3.5,4.2
"4122",0.14,0.27,0.59,"D",0,0,0
"4123",0.13,0.37,0.5,"H",2.1,3.5,3.8
"4124",0.1,0.17,0.73,"H",1.44,5,7.5
"4125",0.07,0.48,0.45,"D",1.91,3.7,4.33
"4126",0.07,0.31,0.62,"H",1.67,4.2,5.25
"4127",0.1,0.11,0.79,"H",1.67,4.2,5.25
"4128",0.66,0.08,0.26,"H",2.2,3.5,3.5
"4129",0.03,0.22,0.75,"H",1.91,3.6,4.5
"4130",0.07,0.18,0.75,"D",1.4,5,9
"4131",0.36,0.33,0.31,"A",2.8,3.4,2.7
"4132",0.71,0.24,0.05,"A",8.5,4.75,1.44
"4133",0.16,0.2,0.64,"H",1.6,4,6.5
"4134",0,0.02,0.98,"H",1.57,4,7
"4135",0.1,0.57,0.33,"H",2.5,3.3,3.1
"4136",0.11,0.4,0.49,"D",1.44,4.75,8
"4137",0.05,0.62,0.33,"D",1.91,3.6,4.5
"4138",0.38,0.03,0.59,"H",6.5,4.5,1.55
"4139",0.44,0.18,0.38,"A",4.75,3.75,1.83
"4140",0.01,0.01,0.98,"H",0,0,0
"4141",0.19,0.19,0.62,"H",2.38,3.25,3.4
"4142",0.17,0.1,0.73,"A",2.25,3.25,2.87
"4143",0.07,0.42,0.51,"D",2.75,3.2,2.5
"4144",0.84,0.04,0.12,"A",3.8,3.6,2.05
"4145",0.2,0.27,0.53,"A",2.3,3.5,3.3
"4146",0.2,0.04,0.76,"H",3.8,3.75,2
"4147",0.11,0.27,0.62,"A",3.75,3.6,2.1
"4148",0.03,0.07,0.9,"H",1.91,3.75,4.33
"4149",0.05,0.01,0.94,"H",0,0,0
"4150",0.09,0.35,0.56,"A",2.1,3.5,3.8
"4151",0.12,0.38,0.5,"H",2.5,3.4,3
"4152",0.64,0.06,0.3,"A",3.4,3.4,2.3
"4153",0.63,0.33,0.04,"D",7,4.75,1.5
"4154",0,0.03,0.97,"H",1.44,4.75,8
"4155",0.31,0.36,0.33,"A",2.3,3.5,3.3
"4156",0.37,0.08,0.55,"A",2.15,3.6,3.5
"4157",0.05,0.32,0.63,"D",2.1,3.5,3.8
"4158",0.11,0.5,0.39,"H",1.4,5.25,8.5
"4159",0.03,0.02,0.95,"H",1.83,3.75,4.75
"4160",0.25,0.08,0.67,"A",1.7,3.8,5.75
"4161",0.61,0.27,0.12,"D",0,0,0
"4162",0.72,0.26,0.02,"D",5.25,3.75,1.75
"4163",0.05,0.8,0.15,"D",2.15,3.4,3.75
"4164",0.44,0.06,0.5,"A",4.5,3.8,1.85
"4165",0.22,0.06,0.72,"H",2.15,3.5,3.6
"4166",0.24,0.05,0.71,"H",2.25,3.6,3.25
"4167",0.29,0.67,0.04,"D",2.8,3.3,2.75
"4168",0.16,0.7,0.14,"A",2.1,3.4,4
"4169",0.33,0.17,0.5,"A",3.8,3.6,2.05
"4170",0.03,0.13,0.84,"H",1.45,4.5,8.5
"4171",0.01,0.07,0.92,"H",1.73,3.8,5.5
"4172",0.58,0.28,0.14,"A",2.5,3.4,3
"4173",0.03,0.16,0.81,"H",1.4,5,9
"4174",0.01,0.17,0.82,"D",1.5,4.5,7.5
"4175",0.02,0.02,0.96,"H",1.5,4.75,7
"4176",0.3,0.03,0.67,"H",4,3.6,2
"4177",0.04,0.55,0.41,"D",1.6,4.2,6
"4178",0.03,0.07,0.9,"H",2.35,3.4,3.25
"4179",0.09,0.06,0.85,"H",0,0,0
"4180",0.41,0.13,0.46,"A",2.8,3.4,2.7
"4181",0.04,0.22,0.74,"D",2.6,3.25,3
"4182",0.46,0.14,0.4,"D",2.95,3.4,2.55
"4183",0.04,0.08,0.88,"H",1.8,3.8,4.75
"4184",0.2,0.2,0.6,"A",2.5,3.4,3
"4185",0.15,0.06,0.79,"A",0,0,0
"4186",0.66,0.05,0.29,"A",3.1,3.3,2.5
"4187",0,0,1,"H",1.29,6,12
"4188",0.04,0.13,0.83,"H",2.45,3.5,3
"4189",0,0.08,0.92,"H",1.5,4.5,7.5
"4190",0.14,0.14,0.72,"D",2.8,3.5,2.6
"4191",0.12,0.03,0.85,"A",2.05,3.5,4
"4192",0.08,0.15,0.77,"H",0,0,0
"4193",0.22,0.02,0.76,"A",4.75,3.8,1.8
"4194",0.05,0.22,0.73,"A",1.83,3.6,5
"4195",0.03,0.01,0.96,"H",1.4,5,9
"4196",0.04,0.39,0.57,"H",1.75,3.75,5.25
"4197",0.2,0.05,0.75,"A",0,0,0
"4198",0.67,0.27,0.06,"A",6.5,4.5,1.53
"4199",0.25,0.1,0.65,"A",2.25,3.4,3.5
"4200",0,0.05,0.95,"D",1.18,8,19
"4201",0.06,0.04,0.9,"H",2.9,3.4,2.6
"4202",0.13,0.2,0.67,"D",2.38,3.4,3.25
"4203",0.59,0.35,0.06,"D",4.75,3.75,1.83
"4204",0.35,0.11,0.54,"A",3.5,3.5,2.2
"4205",0.17,0.07,0.76,"H",0,0,0
"4206",0.13,0.26,0.61,"H",1.7,4,5.5
"4207",0.04,0.33,0.63,"H",2.25,3.25,2.75
"4208",0.03,0.29,0.68,"D",2.4,3.3,3.3
"4209",0.06,0.03,0.91,"H",3.4,3.4,2.3
"4210",0,0.01,0.99,"H",1.22,7,15
"4211",0.06,0.3,0.64,"D",1.83,3.75,4.75
"4212",0.1,0.2,0.7,"H",2.9,3.4,2.6
"4213",0.14,0.7,0.16,"D",4.2,3.5,2
"4214",0.49,0.17,0.34,"H",5,3.75,1.8
"4215",0.09,0.05,0.86,"D",1.85,3.75,4.5
"4216",0.21,0.07,0.72,"H",2.2,3.4,3.6
"4217",0.23,0.07,0.7,"H",3.5,3.5,2.2
"4218",0.58,0.3,0.12,"D",4.5,3.75,1.85
"4219",0.01,0.1,0.89,"H",1.44,4.75,8
"4220",0.13,0.06,0.81,"D",0,0,0
"4221",0.31,0.19,0.5,"A",1.83,3.75,4.75
"4222",0.56,0.04,0.4,"A",4.5,3.6,1.91
"4223",0.22,0.53,0.25,"A",6,4.2,1.62
"4224",0.85,0.13,0.02,"A",7,4.2,1.55
"4225",0.15,0.02,0.83,"A",1.8,4,4.5
"4226",0.24,0.53,0.23,"D",2.15,3.5,3.6
"4227",0.21,0.14,0.65,"A",2.7,3.25,2.88
"4228",0.04,0.25,0.71,"H",1.67,4,5.75
"4229",0.01,0.01,0.98,"H",1.36,5.5,9.5
"4230",0.19,0.23,0.58,"H",1.65,4,6
"4231",0.22,0.15,0.63,"H",2.25,3.3,3.6
"4232",0.49,0.14,0.37,"A",2.9,3.3,2.63
"4233",0.06,0.1,0.84,"H",1.25,6.5,15
"4234",0.07,0.06,0.87,"H",0,0,0
"4235",0.21,0.41,0.38,"A",2.4,3.3,3.25
"4236",0.03,0.11,0.86,"D",1.18,8,19
"4237",0.54,0.38,0.08,"A",4.75,3.6,1.85
"4238",0.07,0.63,0.3,"D",2.6,3.25,3
"4239",0.15,0.11,0.74,"A",0,0,0
"4240",0.03,0.13,0.84,"H",2.38,3.1,3.5
"4241",0,0,1,"H",1.33,5.5,11
"4242",0.05,0.41,0.54,"D",2.38,3.3,3.3
"4243",0.04,0.07,0.89,"H",1.29,6,12
"4244",0.58,0.1,0.32,"A",5.75,3.8,1.7
"4245",0.06,0.1,0.84,"H",0,0,0
"4246",0.18,0.49,0.33,"A",2.7,3.2,2.9
"4247",0.25,0.1,0.65,"H",2.05,3.3,4.2
"4248",0.34,0.11,0.55,"H",4.2,3.5,2
"4249",0.36,0.09,0.55,"A",2.63,3.3,2.9
"4250",0.22,0.63,0.15,"A",2.63,3.3,2.9
"4251",0.08,0.04,0.88,"H",1.95,3.5,4.5
"4252",0.02,0.13,0.85,"H",1.91,3.5,4.75
"4253",0.31,0.07,0.62,"H",3.4,3.2,2.38
"4254",0.06,0.13,0.81,"H",1.57,4.5,6
"4255",0.55,0.13,0.32,"H",3.1,3.6,2.38
"4256",0.01,0.17,0.82,"H",2.88,3.1,2.88
"4257",0.07,0.05,0.88,"H",0,0,0
"4258",0,0.03,0.97,"H",1.36,5.25,10
"4259",0.74,0.13,0.13,"A",4.2,3.5,2
"4260",0.81,0.15,0.04,"A",7,4.33,1.53
"4261",0.03,0.07,0.9,"H",1.75,3.8,5.25
"4262",0.84,0.12,0.04,"A",6.25,4,1.62
"4263",0.08,0.31,0.61,"H",0,0,0
"4264",0.23,0,0.77,"A",0,0,0
"4265",0.08,0.09,0.83,"H",1.4,5,9
"4266",0.68,0.21,0.11,"H",7.5,5,1.44
"4267",0,0.83,0.17,"D",2.2,3.3,3.75
"4268",0.26,0.14,0.6,"H",2.38,3.25,3.4
"4269",0.07,0.6,0.33,"D",1.62,4,6.5
"4270",0.03,0.17,0.8,"H",1.83,3.75,4.75
"4271",0.7,0.24,0.06,"A",4,3.6,2
"4272",0.11,0.05,0.84,"A",2.5,3.25,2.8
"4273",0.03,0.29,0.68,"D",1.909,3.25,3.5
"4274",0.09,0.35,0.56,"A",2.1,3.3,3.5
"4275",0.07,0.01,0.92,"H",1.53,4,6
"4276",0.18,0.11,0.71,"H",1.8,3.5,4.5
"4277",0.47,0.21,0.32,"A",2.05,3.4,3.6
"4278",0.03,0.1,0.87,"A",3.3,3.4,2.15
"4279",0.63,0.04,0.33,"A",0,0,0
"4280",0.03,0.01,0.96,"H",1.29,5.5,11
"4281",0,0.05,0.95,"H",1.3,5.5,10
"4282",0.09,0.06,0.85,"H",2.5,3.1,3.1
"4283",0.31,0.17,0.52,"A",0,0,0
"4284",0.29,0.54,0.17,"D",2.15,3.4,3.8
"4285",0.66,0.33,0.01,"A",6.5,4.33,1.57
"4286",0.08,0.08,0.84,"A",1.62,4.2,6
"4287",0.05,0.07,0.88,"A",2.3,3.4,3.4
"4288",0.75,0.15,0.1,"A",9,5,1.4
"4289",0.1,0.05,0.85,"H",1.4,5,9
"4290",0.06,0.33,0.61,"A",1.95,3.5,4.5
"4291",0.08,0.36,0.56,"H",1.73,3.8,5.5
"4292",0.57,0.28,0.15,"H",3.5,3.25,2.3
"4293",0.07,0.03,0.9,"H",1.25,6.5,11
"4294",0.67,0.08,0.25,"A",3.3,3.5,2.3
"4295",0.04,0.08,0.88,"H",1.29,6,12
"4296",0.08,0.62,0.3,"D",2.38,3.4,3.25
"4297",0.39,0.34,0.27,"D",2.1,3.5,3.8
"4298",0.5,0.42,0.08,"D",4,3.6,2
"4299",0.42,0.4,0.18,"D",2.4,3.3,3.3
"4300",0.46,0.2,0.34,"H",4.33,3.4,2
"4301",0.69,0.2,0.11,"A",5.75,3.8,1.7
"4302",0.34,0.07,0.59,"H",2.75,3.3,2.8
"4303",0.26,0.14,0.6,"H",2.3,3.4,3.4
"4304",0.02,0.01,0.97,"H",1.36,5.25,10
"4305",0.89,0.06,0.05,"A",3.75,3.75,2.05
"4306",0.83,0.13,0.04,"A",5.5,4,1.7
"4307",0.38,0.11,0.51,"H",0,0,0
"4308",0.39,0.34,0.27,"A",1.95,3.5,4.5
"4309",0.49,0.07,0.44,"H",2.6,3.4,2.9
"4310",0.08,0.53,0.39,"D",2.55,3.3,3
"4311",0.45,0.05,0.5,"H",2.9,3.4,2.6
"4312",0.16,0.53,0.31,"D",2.1,3.5,3.8
"4313",0,0.02,0.98,"H",1.22,7.5,13
"4314",0.2,0.1,0.7,"A",1.3,6,11
"4315",0.37,0.31,0.32,"D",2.7,3.3,2.88
"4316",0.08,0.16,0.76,"A",1.45,4.75,8
"4317",0.05,0.05,0.9,"H",1.75,3.8,5.25
"4318",0.35,0.51,0.14,"D",2.8,3.3,2.75
"4319",0.49,0.29,0.22,"D",2.45,3.5,3
"4320",0.81,0.16,0.03,"A",4.75,4.2,1.75
"4321",0,0.11,0.89,"H",0,0,0
"4322",0.04,0.19,0.77,"D",1.3,6,11
"4323",0,0,1,"H",1.36,5.25,9.5
"4324",0.82,0.05,0.13,"A",2.4,3.6,3
"4325",0.01,0.05,0.94,"H",1.6,4.33,6
"4326",0.23,0.17,0.6,"H",1.83,4,4.33
"4327",0.04,0.28,0.68,"D",0,0,0
"4328",0.56,0.15,0.29,"D",2,3.25,3.4
"4329",0.27,0.21,0.52,"H",2.5,3.2,2.75
"4330",0.13,0.04,0.83,"A",0,0,0
"4331",0.07,0.05,0.88,"H",0,0,0
"4332",0.06,0.17,0.77,"H",2.5,3,2.625
"4333",0.09,0.4,0.51,"H",2.3,3.25,2.8
"4334",0.04,0.15,0.81,"D",0,0,0
"4335",0.12,0.08,0.8,"H",0,0,0
"4336",0.39,0.11,0.5,"H",0,0,0
"4337",0.11,0.01,0.88,"H",0,0,0
"4338",0.55,0.13,0.32,"D",0,0,0
"4339",0.22,0.42,0.36,"D",0,0,0
"4340",0.04,0,0.96,"H",0,0,0
"4341",0.68,0.29,0.03,"A",0,0,0
"4342",0.51,0.17,0.32,"A",0,0,0
"4343",0.18,0.04,0.78,"A",0,0,0
"4344",0.02,0.37,0.61,"D",0,0,0
"4345",0.01,0.04,0.95,"H",1.25,4.5,11
"4346",0.1,0.28,0.62,"H",1.9,3.25,3.75
"4347",0,0.07,0.93,"H",0,0,0
"4348",0.13,0.3,0.57,"D",0,0,0
"4349",0.12,0.07,0.81,"D",0,0,0
"4350",0.21,0.05,0.74,"A",0,0,0
"4351",0.06,0.01,0.93,"A",0,0,0
"4352",0.79,0.08,0.13,"A",0,0,0
"4353",0.14,0.59,0.27,"H",1.444,3.75,6.5
"4354",0.25,0.6,0.15,"D",1.61,3.6,5
"4355",0.06,0.09,0.85,"D",2,3.2,3.75
"4356",0.06,0.06,0.88,"H",0,0,0
"4357",0.1,0.38,0.52,"A",0,0,0
"4358",0.46,0.1,0.44,"A",0,0,0
"4359",0.08,0.28,0.64,"H",0,0,0
"4360",0.22,0.04,0.74,"H",0,0,0
"4361",0,0.02,0.98,"H",0,0,0
"4362",0.02,0.05,0.93,"H",0,0,0
"4363",0.56,0.05,0.39,"A",0,0,0
"4364",0.1,0.17,0.73,"H",1.667,3.4,4.5
"4365",0.01,0.09,0.9,"H",1.33,4.33,8.5
"4366",0.39,0.15,0.46,"A",0,0,0
"4367",0.15,0.23,0.62,"D",0,0,0
"4368",0,0.01,0.99,"H",0,0,0
"4369",0,0,1,"H",0,0,0
"4370",0.07,0.16,0.77,"H",0,0,0
"4371",0.64,0.18,0.18,"D",0,0,0
"4372",0.27,0.42,0.31,"D",0,0,0
"4373",0.24,0.51,0.25,"D",0,0,0
"4374",0.04,0.23,0.73,"H",1.727,3.2,4.5
"4375",0.46,0.16,0.38,"A",6.5,3.6,1.5
"4376",0.04,0.23,0.73,"H",1.4,4,9
"4377",0,0.02,0.98,"H",0,0,0
"4378",0.12,0.18,0.7,"H",0,0,0
"4379",0.04,0.09,0.87,"H",0,0,0
"4380",0.07,0.11,0.82,"D",0,0,0
"4381",0.54,0.13,0.33,"A",0,0,0
"4382",0.09,0.09,0.82,"H",0,0,0
"4383",0.13,0.2,0.67,"A",1.8,3.2,4.33
"4384",0.84,0.15,0.01,"A",6.5,3.5,1.57
"4385",0.06,0.04,0.9,"H",0,0,0
"4386",0.11,0.41,0.48,"D",0,0,0
"4387",0.02,0.06,0.92,"H",0,0,0
"4388",0.1,0.18,0.72,"D",0,0,0
"4389",0.02,0.23,0.75,"H",0,0,0
"4390",0.86,0.03,0.11,"A",0,0,0
"4391",0,0.28,0.72,"D",0,0,0
"4392",0.06,0.03,0.91,"H",0,0,0
"4393",0.09,0.29,0.62,"D",0,0,0
"4394",0.11,0.8,0.09,"D",2.1,3.25,3
"4395",0.16,0.12,0.72,"H",0,0,0
"4396",0.82,0.1,0.08,"A",0,0,0
"4397",0.01,0.1,0.89,"H",0,0,0
"4398",0.28,0.24,0.48,"A",0,0,0
"4399",0.09,0.05,0.86,"H",0,0,0
"4400",0.52,0.48,0,"D",0,0,0
"4401",0.02,0.01,0.97,"H",0,0,0
"4402",0.03,0.55,0.42,"H",0,0,0
"4403",0.38,0.1,0.52,"H",4.33,3.2,1.8
"4404",0.01,0.03,0.96,"H",0,0,0
"4405",0.02,0.27,0.71,"D",0,0,0
"4406",0.02,0.76,0.22,"D",0,0,0
"4407",0.04,0.28,0.68,"A",0,0,0
"4408",0.04,0.01,0.95,"H",0,0,0
"4409",0.33,0.04,0.63,"H",2.75,3.25,2.25
"4410",0.06,0.41,0.53,"H",1.83,3.25,4
"4411",0.48,0.09,0.43,"A",3.4,3.25,2.1
"4412",0.09,0.22,0.69,"A",0,0,0
"4413",0.05,0.06,0.89,"H",0,0,0
"4414",0.75,0.25,0,"A",0,0,0
"4415",0.04,0.31,0.65,"D",0,0,0
"4416",0.03,0.22,0.75,"D",0,0,0
"4417",0.87,0.03,0.1,"A",0,0,0
"4418",0.08,0.23,0.69,"A",0,0,0
"4419",0.14,0.6,0.26,"D",2.625,3,2.5
"4420",0.19,0.22,0.59,"D",0,0,0
"4421",0.01,0.26,0.73,"D",0,0,0
"4422",0.02,0.14,0.84,"H",0,0,0
"4423",0,0,1,"H",0,0,0
"4424",0.09,0.35,0.56,"A",2.625,3.2,2.375
"4425",0.03,0.02,0.95,"H",1.61,3.6,5
"4426",0.15,0.29,0.56,"H",2.1,3.25,3.4
"4427",0.11,0.49,0.4,"H",0,0,0
"4428",0.05,0.11,0.84,"H",0,0,0
"4429",0.84,0.13,0.03,"A",0,0,0
"4430",0.03,0.12,0.85,"H",0,0,0
"4431",0,0.02,0.98,"H",0,0,0
"4432",0.04,0.19,0.77,"H",0,0,0
"4433",0.04,0.09,0.87,"H",0,0,0
"4434",0.12,0.07,0.81,"H",0,0,0
"4435",0.1,0.29,0.61,"D",2,3.25,3.25
"4436",0.17,0.07,0.76,"H",2.5,3.3,2.5
"4437",0.01,0.05,0.94,"H",1.28,5,10
"4438",0.09,0.15,0.76,"A",0,0,0
"4439",0.17,0.05,0.78,"H",0,0,0
"4440",0.07,0.1,0.83,"H",0,0,0
"4441",0.31,0.11,0.58,"H",0,0,0
"4442",0.46,0.43,0.11,"D",0,0,0
"4443",0,0.01,0.99,"H",0,0,0
"4444",0.02,0.32,0.66,"D",0,0,0
"4445",0.05,0.17,0.78,"H",0,0,0
"4446",0.21,0.09,0.7,"D",2.37,3.25,2.87
"4447",0.59,0.34,0.07,"D",0,0,0
"4448",0.57,0.21,0.22,"A",0,0,0
"4449",0.04,0.15,0.81,"A",0,0,0
"4450",0.52,0.4,0.08,"A",0,0,0
"4451",0.05,0.03,0.92,"H",1.3,4.5,9.5
"4452",0.08,0.02,0.9,"A",2.25,3.2,3.1
"4453",0.07,0.14,0.79,"D",0,0,0
"4454",0.29,0.4,0.31,"D",0,0,0
"4455",0.05,0.66,0.29,"D",0,0,0
"4456",0.18,0.02,0.8,"A",0,0,0
"4457",0.24,0.36,0.4,"D",0,0,0
"4458",0.12,0.25,0.63,"H",0,0,0
"4459",0.11,0.3,0.59,"H",2.25,3.25,2.75
"4460",0.44,0.05,0.51,"H",1.72,3.5,4.33
"4461",0.04,0.43,0.53,"D",2.37,3.25,2.87
"4462",0.06,0.22,0.72,"A",0,0,0
"4463",0.01,0.02,0.97,"H",0,0,0
"4464",0,0,1,"H",0,0,0
"4465",0.07,0.22,0.71,"H",0,0,0
"4466",0.01,0.1,0.89,"H",0,0,0
"4467",0.02,0.62,0.36,"H",0,0,0
"4468",0.06,0.13,0.81,"H",0,0,0
"4469",0.12,0.06,0.82,"D",0,0,0
"4470",0.74,0.14,0.12,"A",0,0,0
"4471",0.61,0.04,0.35,"A",3,3.25,2.1
"4472",0.81,0.07,0.12,"A",0,0,0
"4473",0.7,0.06,0.24,"A",0,0,0
"4474",0.22,0,0.78,"H",0,0,0
"4475",0.04,0.07,0.89,"H",0,0,0
"4476",0.86,0.08,0.06,"A",2.8,3.25,2.2
"4477",0.18,0.14,0.68,"H",2.25,3.25,2.87
"4478",0.16,0.04,0.8,"H",2.75,3.2,2.5
"4479",0,0.21,0.79,"H",0,0,0
"4480",0.09,0.08,0.83,"A",0,0,0
"4481",0.06,0.22,0.72,"H",0,0,0
"4482",0.37,0.41,0.22,"H",0,0,0
"4483",0.09,0.46,0.45,"D",0,0,0
"4484",0.72,0.14,0.14,"H",0,0,0
"4485",0.06,0.08,0.86,"H",0,0,0
"4486",0.13,0.12,0.75,"H",0,0,0
"4487",0.24,0.39,0.37,"D",1.8,3.4,4
"4488",0.03,0.2,0.77,"H",1.8,3.1,5
"4489",0.11,0.16,0.73,"H",0,0,0
"4490",0.71,0.1,0.19,"A",4.33,3.5,1.72
"4491",0.38,0.16,0.46,"D",4.33,3.5,1.72
"4492",0.03,0,0.97,"H",2.62,3.2,2.6
"4493",0.1,0.14,0.76,"H",0,0,0
"4494",0,0.06,0.94,"H",0,0,0
"4495",0.1,0.07,0.83,"H",2.3,3.2,2.7
"4496",0.42,0.39,0.19,"D",5.5,3.2,1.72
"4497",0.12,0.37,0.51,"A",1.727,3.25,4.333
"4498",0.62,0.17,0.21,"A",2.5,3.2,2.75
"4499",0.05,0.12,0.83,"D",0,0,0
"4500",0,0.07,0.93,"H",1.167,5.5,13
"4501",0.07,0.1,0.83,"H",1.66,3.4,5
"4502",0.01,0.05,0.94,"H",1.61,3.6,5.5
"4503",0.03,0.07,0.9,"H",1.72,3.4,5
"4504",0.31,0.07,0.62,"A",0,0,0
"4505",0.15,0.19,0.66,"H",4,3.25,1.83
"4506",0.32,0.17,0.51,"A",3.4,3.25,2.1
"4507",0,0.27,0.73,"H",0,0,0
"4508",0.09,0.2,0.71,"H",0,0,0
"4509",0.1,0.07,0.83,"H",1.727,3.25,4.333
"4510",0.04,0.17,0.79,"D",2,3.25,3.4
"4511",0.02,0.43,0.55,"D",2.1,3.25,3.4
"4512",0.26,0.1,0.64,"A",0,0,0
"4513",0.07,0.24,0.69,"H",1.3,4.5,8
"4514",0.16,0.18,0.66,"A",1.9,3.25,3.75
"4515",0.11,0.45,0.44,"H",2.6,3.2,2.62
"4516",0.38,0.15,0.47,"H",5.5,3.5,1.533
"4517",0.08,0.04,0.88,"H",1.8,3.3,4.5
"4518",0.01,0.04,0.95,"H",0,0,0
"4519",0.46,0.09,0.45,"D",4.333,3.25,1.727
"4520",0.74,0.19,0.07,"A",2.75,3,2.375
"4521",0.03,0.23,0.74,"H",2.3,3.25,3
"4522",0.04,0,0.96,"H",0,0,0
"4523",0.27,0.54,0.19,"A",2.6,3.2,2.4
"4524",0.09,0.08,0.83,"H",1.5,3.5,7
"4525",0.02,0.18,0.8,"H",1.5,3.6,7.5
"4526",0.07,0.06,0.87,"H",0,0,0
"4527",0.08,0.37,0.55,"H",1.5,3.5,7
"4528",0.37,0.37,0.26,"A",2.75,3.2,2.5
"4529",0.17,0.07,0.76,"A",0,0,0
"4530",0.14,0.18,0.68,"D",2.375,3,2.75
"4531",0.43,0.15,0.42,"A",1.9,3.25,4
"4532",0.52,0.02,0.46,"H",2.8,3.2,2.25
"4533",0.66,0.2,0.14,"H",2.62,3,2.75
"4534",0.93,0.04,0.03,"A",0,0,0
"4535",0.02,0.06,0.92,"H",1.533,3.5,5.5
"4536",0.05,0.14,0.81,"H",2,3.25,3.4
"4537",0.02,0.13,0.85,"D",1.66,3.4,5.5
"4538",0.07,0.17,0.76,"D",0,0,0
"4539",0.1,0.14,0.76,"H",2.1,3.25,3.2
"4540",0.09,0,0.91,"H",1.66,3.4,5.5
"4541",0.24,0.22,0.54,"A",0,0,0
"4542",0.38,0.36,0.26,"D",5,3.6,1.61
"4543",0.11,0.37,0.52,"D",2.5,3.2,2.75
"11000",0.1,0.05,0.85,"D",1.66,3.4,5.5
"21000",0.04,0.13,0.83,"H",1.53,3.6,6.5
"31000",0.05,0.48,0.47,"H",1.9,3.25,4
"4544",0.05,0.36,0.59,"A",2.1,3.25,3
"5100",0.76,0.11,0.13,"H",3.6,3.3,2
"6100",0.02,0.08,0.9,"H",1.5,3.75,7
"7100",0.04,0.12,0.84,"D",1.57,3.6,6
"8100",0.22,0.47,0.31,"H",2.15,3.2,3.4
"9100",0.13,0.16,0.71,"H",1.53,3.6,6.5
"10100",0.72,0.16,0.12,"H",4.33,3.4,1.83
"11100",0.09,0.04,0.87,"H",1.75,3.3,5
"12100",0.15,0.15,0.7,"D",1.72,3.4,5
"13100",0.03,0.01,0.96,"H",1.16,6.5,15
"14100",0,0.03,0.97,"H",1.25,5,13
"15100",0.38,0.06,0.56,"A",2.4,3.2,2.87
"16100",0.09,0.2,0.71,"A",2.3,3.25,3
"17100",0.13,0.09,0.78,"D",2,3.25,3.4
"18100",0.64,0.08,0.28,"A",2.37,3.2,2.62
"19100",0.3,0.05,0.65,"H",1.57,4,5.25
"20100",0.77,0.13,0.1,"H",3.2,3.25,2.2
"21100",0.04,0.07,0.89,"H",1.66,3.6,5
"22100",0.24,0.25,0.51,"H",1.33,5.25,8.5
"23100",0.04,0.07,0.89,"H",1.12,9,17
"24100",0.06,0.04,0.9,"D",1.72,3.25,4.33
"25100",0.15,0.15,0.7,"H",1.62,3.6,6
"26100",0.07,0.3,0.63,"H",1.73,3.5,5
"27100",0.07,0.46,0.47,"D",1.33,5,9
"28100",0.07,0.38,0.55,"A",2.1,3.25,3.6
"29100",0.52,0.11,0.37,"D",2.75,3.3,2.5
